location_name,mention_count,avg_sentiment_score,sentiment_label,avg_emotion_intensity,total_emotions_detected,unique_emotions,latitude,longitude,neutral,fear,surprise,disgust,sadness,death,hunger,anger,joy,trauma,survival,disease,cruelty,suffering,despair,exhaustion
mile 33,2,-0.25,negative,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
mile 58,2,-0.25,negative,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
mile 63,2,-0.25,negative,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
the Bengkoka River,4,-0.027314814814814816,negative,0.0,4,2,,,3.0,1.0,,,,,,,,,,,,,,
the Celo River,2,-0.12142857142857143,negative,0.04015151515151515,4,3,117.431389,5.815278,,1.0,,,1.0,,,,,,,2.0,,,,
the Crocker Range,2,0.14814814814814814,positive,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
the Crocker Ranges,3,-0.0371031746031746,negative,0.0,5,2,,,2.0,3.0,,,,,,,,,,,,,,
the Gum Gum River,2,0.09999999999999999,neutral,0.0,2,2,,,,1.0,,1.0,,,,,,,,,,,,
the Kabon China Road,2,0.0619047619047619,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
the Kehunut River,2,-0.039999999999999994,neutral,0.0,2,1,,,,2.0,,,,,,,,,,,,,,
the Labuk River,5,0.15523809523809523,neutral,0.0,5,2,,,2.0,3.0,,,,,,,,,,,,,,
the Maitland Range,3,-0.055555555555555546,negative,0.020833333333333332,4,3,,,1.0,2.0,,,,,1.0,,,,,,,,,
the Mandorin River,3,-0.12243589743589745,neutral,0.02857142857142857,4,3,117.561975,5.799095,,2.0,,1.0,,,,,,,,1.0,,,,
the Muanad River,2,0.10714285714285714,neutral,0.0,2,2,117.621488,5.821497,1.0,1.0,,,,,,,,,,,,,,
the Number 1 Compound,2,-0.027777777777777776,neutral,0.04,4,2,,,,,,,2.0,2.0,,,,,,,,,,
the Number 1 Jungle Camp,3,-0.5218694885361552,negative,0.14035087719298245,6,5,,,,,1.0,1.0,,1.0,,1.0,,,,2.0,,,,
the Number 2 Compound,3,-0.02962962962962963,neutral,0.0,3,2,,,,2.0,,,1.0,,,,,,,,,,,
the Number 2 Jungle Camp,7,0.08928571428571427,neutral,0.012422360248447204,11,5,,,5.0,,3.0,1.0,,1.0,,1.0,,,,,,,,
the Ranau Number 1 Camp,2,0.0,neutral,0.0,2,1,116.676557,5.959678,,,,2.0,,,,,,,,,,,,
the Ranau Number 2 Jungle Camp,2,0.0,neutral,0.0,2,1,116.676557,5.959678,2.0,,,,,,,,,,,,,,,
the Ranau plain,8,-0.10518707482993198,negative,0.009615384615384616,10,3,116.676557,5.959678,2.0,6.0,,,,,,,,,,,,2.0,,
the Samawang River,2,0.025,neutral,0.0,2,1,,,2.0,,,,,,,,,,,,,,,
the Sapi River,2,0.0,neutral,0.027777777777777776,3,3,,,1.0,,1.0,,,,,,,,1.0,,,,,
the South-East Asian Co-Prosperity Sphere,2,0.0,neutral,0.05,2,1,,,,,,,,,2.0,,,,,,,,,
the Tangkul Crossing,8,0.03911210317460318,neutral,0.0,8,4,,,3.0,3.0,,1.0,,,,1.0,,,,,,,,
the Telupid River,2,0.0,neutral,0.0,2,1,117.135425,5.62451,2.0,,,,,,,,,,,,,,,
the Tuanintin River,2,0.35,positive,0.125,4,2,117.514328,5.791544,,,,,2.0,2.0,,,,,,,,,,
west coast,2,0.5375,positive,0.043478260869565216,4,3,,,,,,,2.0,,,,,,,1.0,,1.0,,
